page_url,제품명,제품 소개,cate1,cate2,가격,성별,XS이하,S,M,L,XL이상
https://www.nike.com/kr/t/sb-usa-스케이트보딩-티셔츠-rrhGhRAe/FZ8935-417,스케이트보딩 티셔츠,나이키 SB USA,탑 & 티셔츠,그래픽 티셔츠,"49,000 원",W,0,0,1,1,1
https://www.nike.com/kr/t/스포츠웨어-칠-니트-여성-슬림-긴팔-크롭-그래픽-티셔츠-Kyw0NxhQ/FZ2859-010,여성 슬림 긴팔 크롭 그래픽 티셔츠,나이키 스포츠웨어 칠 니트,탑 & 티셔츠,그래픽 티셔츠,"59,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/여성-티셔츠-8NB8nXwX/HV9497-010,여성 티셔츠,나이키,탑 & 티셔츠,그래픽 티셔츠,"45,000 원",W,0,0,0,0,1
https://www.nike.com/kr/t/여성-티셔츠-iqPncRZ8/HV9495-010,여성 티셔츠,나이키,탑 & 티셔츠,그래픽 티셔츠,"45,000 원",W,0,0,0,1,0
https://www.nike.com/kr/t/sb-긴팔-스케이트보딩-티셔츠-HkXGaOdP/HF0036-100,긴팔 스케이트보딩 티셔츠,나이키 SB,탑 & 티셔츠,그래픽 티셔츠,"65,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/조던-여성-그래픽-걸프렌드-티셔츠-HJ3HZVl0/FV7123-100,여성 그래픽 걸프렌드 티셔츠,조던,탑 & 티셔츠,그래픽 티셔츠,"69,000 원",W,0,0,1,1,0
https://www.nike.com/kr/t/스포츠웨어-여성-티셔츠-Vsz31Xnc/HQ4327-685,여성 티셔츠,나이키 스포츠웨어,탑 & 티셔츠,그래픽 티셔츠,"55,000 원",W,0,1,1,1,0
https://www.nike.com/kr/t/스포츠웨어-여성-루즈-긴팔-티셔츠-nQi98TKx/HF0772-218,여성 루즈 긴팔 티셔츠,나이키 스포츠웨어,탑 & 티셔츠,그래픽 티셔츠,"59,000 원",W,0,1,1,1,0
https://www.nike.com/kr/t/sb-티셔츠-WPk086Vz/FZ6707-010,티셔츠,나이키 SB,탑 & 티셔츠,그래픽 티셔츠,"55,000 원",W,0,0,1,1,0
https://www.nike.com/kr/t/sb-맥스90-스케이트보딩-티셔츠-wR9avWBu/FZ6713-100,맥스90 스케이트보딩 티셔츠,나이키 SB,탑 & 티셔츠,그래픽 티셔츠,"55,000 원",W,0,0,1,0,0
https://www.nike.com/kr/t/나오미-오사카-여성-엔지니어드-니트-스웨터-vQQg1axL/FV7802-110,여성 엔지니어드 니트 스웨터,나오미 오사카,탑 & 티셔츠,긴팔,"175,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/스포츠웨어-여성-오버사이즈-긴팔-저지-hw3KH6tc/FV7772-133,여성 오버사이즈 긴팔 저지,나이키 스포츠웨어,탑 & 티셔츠,긴팔,"95,000 원",W,0,1,1,1,0
https://www.nike.com/kr/t/스포츠웨어-컬렉션-여성-크롭-벨루어-풀집-탑-8cVveFnK/FZ3680-370,여성 크롭 벨루어 풀집 탑,나이키 스포츠웨어 컬렉션,탑 & 티셔츠,긴팔,"99,000 원",W,1,1,1,1,1
https://www.nike.com/kr/t/스포츠웨어-칠-니트-여성-슬림-긴팔-크롭-탑-MVpJND1j/HF5323-338,여성 슬림 긴팔 크롭 탑,나이키 스포츠웨어 칠 니트,탑 & 티셔츠,긴팔,"55,000 원",W,1,1,1,1,1
https://www.nike.com/kr/t/스포츠웨어-에센셜-여성-오버사이즈-긴팔-폴로-i1unIP06/FZ5814-338,여성 오버사이즈 긴팔 폴로,나이키 스포츠웨어 에센셜,탑 & 티셔츠,긴팔,"79,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/젠비-여성-드라이-핏-긴팔-탑-uLJUiULn/FN3023-010,여성 드라이 핏 긴팔 탑,나이키 젠비,탑 & 티셔츠,긴팔,"89,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/스포츠웨어-여성-니트-긴팔-크롭-탑-yG8hM1SU/HQ2974-010,여성 니트 긴팔 크롭 탑,나이키 스포츠웨어,탑 & 티셔츠,긴팔,"59,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/원-피티드-여성-드라이-핏-긴팔-크롭-탑-QqZNYaJl/FV8092-010,여성 드라이 핏 긴팔 크롭 탑,나이키 원 피티드,탑 & 티셔츠,긴팔,"69,000 원",W,1,1,1,1,1
https://www.nike.com/kr/t/스포츠웨어-피닉스-코지-부클레-여성-오버사이즈-니트-가디건-K6yLCRVW/FZ1712-010,여성 오버사이즈 니트 가디건,나이키 스포츠웨어 피닉스 코지 부클레,탑 & 티셔츠,긴팔,"185,000 원",W,0,1,1,1,0
https://www.nike.com/kr/t/스포츠웨어-피닉스-코지-부클레-여성-타이트-긴팔-니트-탑-z7i6YHfp/FZ1717-010,여성 타이트 긴팔 니트 탑,나이키 스포츠웨어 피닉스 코지 부클레,탑 & 티셔츠,긴팔,"95,000 원",W,1,1,1,1,1
https://www.nike.com/kr/t/조던-여성-긴팔-탑-7hRiysUG/FV7186-223,여성 긴팔 탑,조던,탑 & 티셔츠,긴팔,"85,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/트레일-여성-드라이-핏-긴팔-포켓-러닝-탑-V7KJrw2M/FV6431-010,여성 드라이 핏 긴팔 포켓 러닝 탑,나이키 트레일,탑 & 티셔츠,긴팔,"89,000 원",W,0,0,1,1,0
https://www.nike.com/kr/t/프로-여성-드라이-핏-긴팔-크롭-티셔츠-ID86JiGa/HF0775-100,여성 드라이 핏 긴팔 크롭 티셔츠,나이키 프로,탑 & 티셔츠,긴팔,"55,000 원",W,0,0,0,0,1
https://www.nike.com/kr/t/스포츠웨어-에센셜-여성-루즈-uv-우븐-긴팔-브이넥-탑-QPco4L6d/FV7650-010,여성 루즈 UV 우븐 긴팔 브이넥 탑,나이키 스포츠웨어 에센셜,탑 & 티셔츠,긴팔,"95,000 원",W,0,1,1,1,0
https://www.nike.com/kr/t/드라이-핏-uv-어드밴티지-여성-풀집-골프-탑-khzF7XgZ/DX1490-675,여성 풀집 골프 탑,나이키 드라이 핏 UV 어드밴티지,탑 & 티셔츠,긴팔,"129,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/에어-조던-여성-니트-가디건-MEc4pWBC/FZ4196-223,여성 니트 가디건,에어 조던,탑 & 티셔츠,긴팔,"205,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/러닝-디비전-여성-긴팔-러닝-탑-J0dnX9o7/FV6419-010,여성 긴팔 러닝 탑,나이키 러닝 디비전,탑 & 티셔츠,긴팔,"109,000 원",W,0,0,0,1,0
https://www.nike.com/kr/t/조던-여성-긴팔-탑-OExHzb5F/FV7183-223,여성 긴팔 탑,조던,탑 & 티셔츠,긴팔,"99,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/원-여성-드라이-핏-풀집-미드-레이어-cTEftmwi/FV7952-010,여성 드라이 핏 풀집 미드 레이어,나이키 원,탑 & 티셔츠,긴팔,"95,000 원",W,0,1,0,0,0
https://www.nike.com/kr/t/에센셜-여성-긴팔-하이드로가드-수영-탑-7PAy1Kg5/CZ2372-010,여성 긴팔 하이드로가드 수영 탑,나이키 에센셜,탑 & 티셔츠,긴팔,"89,000 원",W,0,0,1,1,0
https://www.nike.com/kr/t/우먼-바이-윤-여성-가디건-31XIhkQ6/FZ0275-619,여성 가디건,나이키 우먼 바이 윤,탑 & 티셔츠,긴팔,"199,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/스포츠웨어-여성-니트-재킷-FJEpUNYV/HF4707-010,여성 니트 재킷,나이키 스포츠웨어,탑 & 티셔츠,긴팔,"125,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/sb-긴팔-플란넬-스케이트보딩-버튼-업-셔츠-xywKQjc6/FN2568-113,긴팔 플란넬 스케이트보딩 버튼 업 셔츠,나이키 SB,탑 & 티셔츠,긴팔,"119,000 원",W,0,1,0,0,0
https://www.nike.com/kr/t/스윔-여성-긴팔-풀집-하이드로가드-525tAVk3/FZ6336-376,여성 긴팔 풀집 하이드로가드,나이키 스윔,탑 & 티셔츠,긴팔,"129,000 원",W,1,1,1,1,0
https://www.nike.com/kr/t/원-클래식-여성-드라이-핏-긴팔-탑-KielCNTG/FN2802-010,여성 드라이 핏 긴팔 탑,나이키 원 클래식,탑 & 티셔츠,긴팔,"55,000 원",W,0,1,0,0,0
https://www.nike.com/kr/t/드라이-핏-빅토리-여성-긴팔-골프-폴로-uR2sKQ6u/DH2317-010,여성 긴팔 골프 폴로,나이키 드라이 핏 빅토리,탑 & 티셔츠,긴팔,"89,000 원",W,0,1,1,0,0
https://www.nike.com/kr/t/스포츠웨어-칠-니트-여성-슬림-긴팔-크롭-그래픽-티셔츠-Kyw0NxhQ/FZ2859-010,여성 슬림 긴팔 크롭 그래픽 티셔츠,나이키 스포츠웨어 칠 니트,탑 & 티셔츠,긴팔,"59,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/sb-긴팔-스케이트보딩-티셔츠-HkXGaOdP/HF0036-100,긴팔 스케이트보딩 티셔츠,나이키 SB,탑 & 티셔츠,긴팔,"65,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/에어-여성-긴팔-탑-DdgHGadI/FN1912-010,여성 긴팔 탑,나이키 에어,탑 & 티셔츠,긴팔,"69,000 원",W,0,1,1,1,0
https://www.nike.com/kr/t/원-릴랙스드-여성-드라이-핏-긴팔-탑-QuS0caJU/HQ3230-019,여성 드라이 핏 긴팔 탑,나이키 원 릴랙스드,탑 & 티셔츠,긴팔,"65,000 원",W,0,0,1,0,1
https://www.nike.com/kr/t/스포츠웨어-여성-루즈-긴팔-티셔츠-nQi98TKx/HF0772-218,여성 루즈 긴팔 티셔츠,나이키 스포츠웨어,탑 & 티셔츠,긴팔,"59,000 원",W,0,1,1,1,0
