min_height,max_height,min_weight,max_weight,size
,,,80.0,2XL
,,,60.0,M
,170.0,,60.0,M
,,,60.0,S
,170.0,,60.0,S
,,,70.0,XL
,,,70.0,L
,170.0,,,M
,,,70.0,M
,,,60.0,"height_less_170, M"
,,,60.0,"height_less_170, S"
,170.0,,,S
,170.0,,,"weight_less_60, M"
,170.0,,,"weight_less_60, S"
,170.0,,,2XL
