page_url,제품 소개,제품명,cate1,cate2,가격,성별,XS이하,S,M,L,XL이상
https://www.nike.com/kr/t/sb-로고-스케이트보딩-티셔츠-9rbp8ZpG/CV7540-100,로고 스케이트보딩 티셔츠,나이키 SB,탑 & 티셔츠,그래픽 티셔츠,"49,000 원",M,0,1,1,1,1
https://www.nike.com/kr/t/스포츠웨어-남성-맥스90-티셔츠-HXrFZZwS/HF5565-100,남성 맥스90 티셔츠,나이키 스포츠웨어,탑 & 티셔츠,그래픽 티셔츠,"55,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/드라이-핏-남성-긴팔-트레일-러닝-티셔츠-8M7wNM4E/FN0828-010,남성 긴팔 트레일 러닝 티셔츠,나이키 드라이 핏,탑 & 티셔츠,그래픽 티셔츠,"49,000 원",M,0,0,0,1,1
https://www.nike.com/kr/t/에어-조던-워드마크-85-남성-티셔츠-Uf95fsbq/HF3447-085,남성 티셔츠,에어 조던 워드마크 85,탑 & 티셔츠,그래픽 티셔츠,"69,000 원",M,0,0,0,0,1
https://www.nike.com/kr/t/acg-남성-드라이-핏-티셔츠-iZfKFWO3/FZ5276-464,남성 드라이 핏 티셔츠,나이키 ACG,탑 & 티셔츠,그래픽 티셔츠,"65,000 원",M,0,0,0,0,1
https://www.nike.com/kr/t/남성-골프-티셔츠-px503yqF/FV8429-100,남성 골프 티셔츠,나이키,탑 & 티셔츠,그래픽 티셔츠,"49,000 원",M,0,0,0,0,1
https://www.nike.com/kr/t/usa-남성-농구-티셔츠-TjCvulqM/FQ3631-451,남성 나이키 농구 티셔츠,USA,탑 & 티셔츠,그래픽 티셔츠,"45,000 원",M,0,1,1,1,1
https://www.nike.com/kr/t/남성-드라이-핏-러닝-티셔츠-bHCgyEeR/FZ8055-010,남성 드라이 핏 러닝 티셔츠,나이키,탑 & 티셔츠,그래픽 티셔츠,"49,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/코트-남성-드라이-핏-테니스-티셔츠-6hTzWyiO/FZ8112-010,남성 드라이 핏 테니스 티셔츠,나이키코트,탑 & 티셔츠,그래픽 티셔츠,"49,000 원",M,0,0,0,1,0
https://www.nike.com/kr/t/코비-남성-맥스90-농구-티셔츠-NsxnvUdI/FZ8072-010,남성 맥스90 농구 티셔츠,코비,탑 & 티셔츠,그래픽 티셔츠,"65,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/스포츠웨어-클럽-남성-티셔츠-62l1iPuq/AR4999-371,남성 티셔츠,나이키 스포츠웨어 클럽,탑 & 티셔츠,그래픽 티셔츠,"39,000 원",M,0,0,0,0,1
https://www.nike.com/kr/t/남성-맥스90-농구-티셔츠-A0NoAsz2/FV8395-345,남성 맥스90 농구 티셔츠,나이키,탑 & 티셔츠,그래픽 티셔츠,"59,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/스포츠웨어-남성-티셔츠-eh59MV0X/HQ4323-010,남성 티셔츠,나이키 스포츠웨어,탑 & 티셔츠,그래픽 티셔츠,"55,000 원",M,0,1,1,1,1
https://www.nike.com/kr/t/에어-조던-남성-티셔츠-Eg5gBvew/FZ1908-085,남성 티셔츠,에어 조던,탑 & 티셔츠,그래픽 티셔츠,"89,000 원",M,0,0,0,1,1
https://www.nike.com/kr/t/sb-usa-스케이트보딩-티셔츠-rrhGhRAe/FZ8935-417,스케이트보딩 티셔츠,나이키 SB USA,탑 & 티셔츠,그래픽 티셔츠,"49,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/남성-피트니스-티셔츠-sVb1UA3w/FZ8051-100,남성 피트니스 티셔츠,나이키,탑 & 티셔츠,그래픽 티셔츠,"49,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/스포츠웨어-맥스90-남성-티셔츠-aqZdajYb/FZ5414-010,남성 티셔츠,나이키 스포츠웨어 맥스90,탑 & 티셔츠,그래픽 티셔츠,"49,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/스포츠웨어-맥스90-남성-티셔츠-xO3Ffi3a/HV5038-100,남성 티셔츠,나이키 스포츠웨어 맥스90,탑 & 티셔츠,그래픽 티셔츠,"55,000 원",M,0,0,0,1,1
https://www.nike.com/kr/t/르브론-남성-m90-농구-티셔츠-8kcJEq01/FV8407-010,남성 M90 농구 티셔츠,르브론,탑 & 티셔츠,그래픽 티셔츠,"65,000 원",M,0,0,0,1,1
https://www.nike.com/kr/t/남성-드라이-핏-피트니스-티셔츠-ad53jCEw/FZ8043-010,남성 드라이 핏 피트니스 티셔츠,나이키,탑 & 티셔츠,그래픽 티셔츠,"45,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/sb-긴팔-스케이트보딩-티셔츠-HkXGaOdP/HF0036-100,긴팔 스케이트보딩 티셔츠,나이키 SB,탑 & 티셔츠,그래픽 티셔츠,"65,000 원",M,0,1,1,1,1
https://www.nike.com/kr/t/에어-조던-남성-가디건-SCFFMli4/FV7426-070,남성 가디건,에어 조던,탑 & 티셔츠,긴팔,"179,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/라이프-남성-페어-아일-스우시-스웨터-8qIO4q1U/FZ0126-276,남성 페어 아일 스우시 스웨터,나이키 라이프,탑 & 티셔츠,긴팔,"229,000 원",M,0,1,1,1,1
https://www.nike.com/kr/t/라이프-남성-긴팔-섀미-필드-셔츠-irqLIhRc/FB7743-104,남성 긴팔 섀미 필드 셔츠,나이키 라이프,탑 & 티셔츠,긴팔,"165,000 원",M,0,1,1,1,1
https://www.nike.com/kr/t/조던-에센셜-남성-긴팔-탑-wPc0Lt5h/FV7456-223,남성 긴팔 탑,조던 에센셜,탑 & 티셔츠,긴팔,"79,000 원",M,0,0,0,1,1
https://www.nike.com/kr/t/조던-에센셜-남성-버튼-다운-셔츠-ZTEdakaB/FV7446-223,남성 버튼 다운 셔츠,조던 에센셜,탑 & 티셔츠,긴팔,"139,000 원",M,0,0,1,0,1
https://www.nike.com/kr/t/클럽-남성-크루넥-스웨터-fgvJiCMt/FQ2913-133,남성 크루넥 스웨터,나이키 클럽,탑 & 티셔츠,긴팔,"105,000 원",M,0,1,1,1,1
https://www.nike.com/kr/t/아카데미-윈터-워리어-남성-써마-핏-하프집-축구-탑-p7LgCH12/FB6817-010,남성 써마 핏 하프집 축구 탑,나이키 아카데미 윈터 워리어,탑 & 티셔츠,긴팔,"89,000 원",M,0,0,1,1,1
